ticket_id,customer_id,message,created_at,customer_type,order_value,previous_complaints,department,status
T007839,C02141,Why is my order still stuck in transit? I am considering canceling my account over this.,2025-12-11 19:32:00,Regular,37691.8,2,Logistics,In Progress
T006380,C00346,My order has not arrived yet.,2025-02-11 14:23:00,Premium,156212.29,1,Logistics,Open
T006407,C02193,The dark mode toggle isn't working on the desktop version.,2025-02-24 17:56:00,Regular,43573.69,0,Technical Support,Resolved
T008618,C01321,"i ordered this by mistake, please cancel it before it ships.!",2026-05-16 11:23:00,Regular,4562.47,0,Returns,Open
T007890,C01248,I was sent two left shoes! I need a replacement immediately.,2026-01-11 08:54:00,Premium,154995.66,0,Returns,Open
T008691,C01500,The transaction failed several times.,2025-05-28 18:00:00,Regular,19919.47,1,Payments,Resolved
T009758,C01175,"Tracking status says 'Exception', what does that mean?",2026-08-28 20:09:00,Regular,32171.54,0,Logistics,Open
T004795,C00408,Your delivery partner keeps calling the wrong phone number. This is completely unacceptable.,2026-05-03 10:24:00,Regular,16041.94,0,Logistics,Open
T000195,C01141,I never received the OTP to verify my new phone number. Can you check this for me?,2026-05-27 09:45:00,Regular,43358.34,1,Account Support,Resolved
T006565,C02763,"My installment plan failed this month, how can I manually pay it? Kindly prioritize this ticket.",2025-10-24 14:04:00,Regular,45017.42,1,Payments,In Progress
T002368,C01022,Can I change my account currency from PKR to USD? This issue needs immediate attention.,2025-01-15 21:26:00,Regular,26669.29,3,Account Support,In Progress
T008071,C00046,I keep getting an error when trying to place an order.,2026-05-01 11:00:00,Regular,10853.52,2,Technical Support,Open
T005106,C00922,Why is my Apple Pay failing at checkout? What are the next steps?,2025-10-20 16:20:00,Regular,74552.73,1,Payments,Resolved
T009164,C00067,The product arrived damaged and I want a replacement. Please fix this ASAP.,2025-06-02 14:20:00,Premium,66469.03,5,Returns,Resolved
T004432,C00706,The payment was deducted but I did not receive an order confirmation.,2025-09-08 11:22:00,Regular,31620.18,0,Payments,In Progress
T009540,C00444,My screen goes completely white when I navigate to the settings page.,2025-10-23 17:53:00,Regular,76596.57,1,Technical Support,Resolved
T000601,C01695,Why was my payment declined?,2026-03-25 11:20:00,Premium,120955.64,0,Payments,Resolved
T009251,C00520,I want to know more about this product.,2025-11-03 19:57:00,Regular,57245.2,0,Sales,Open
T006653,C02545,My package was supposed to arrive five days ago. I'm losing my patience here.,2025-02-08 17:43:00,Premium,114535.15,2,Logistics,Resolved
T004660,C02044,"if i buy the camera, does it come with a memory card included? i look forward to hearing from you soon.",2025-08-30 15:48:00,Premium,103540.58,3,Sales,In Progress
T004275,C02254,"i only received a partial refund, why wasn't the full amount refunded? i am really unhappy with this service.",2025-06-12 19:42:00,Regular,55650.19,1,Returns,Resolved
T005765,C00818,"My bank says the transaction went through, but your system says it failed.",2025-08-21 19:05:00,Business,491406.9,0,Payments,In Progress
T001797,C02750,I received someone else's order by mistake.,2026-07-11 14:03:00,Premium,29769.93,1,Logistics,Resolved
T003607,C01994,Is this item eligible for your 30-day money-back guarantee? This issue needs immediate attention.,2025-03-21 12:52:00,Regular,14199.99,1,Sales,Resolved
T000867,C02419,Are the spare parts for this drone easy to find if it breaks? Thank you for your time and support.,2026-04-11 19:37:00,Regular,44222.73,3,Sales,In Progress
T007511,C01204,I want to upgrade my membership to the premium tier.!!,2026-04-21 13:50:00,Regular,62505.49,0,Account Support,Resolved
T003028,C02944,I received a blue case but I ordered a black one.,2026-06-02 09:57:00,Premium,82911.18,7,Returns,Open
T009946,C01052,I received someone else's order by mistake. Can someone look into this?,2025-12-14 11:43:00,Regular,72364.86,0,Logistics,Resolved
T007052,C01590,"This appliance won't turn on out of the box, I need an immediate replacement.",2025-10-15 12:00:00,Regular,44389.7,3,Returns,Open
T002751,C01683,I haven't gotten any updates since the shipping label was created last week. This issue needs immediate attention.,2025-03-08 09:35:00,Regular,35452.69,0,Logistics,Resolved
T008900,C02998,"The delivery guy didn't even ring the bell, he just left it at the gate. please!",2026-08-27 15:10:00,Regular,13448.15,0,Logistics,Resolved
T008164,C02974,"If I buy the camera, does it come with a memory card included? This is my second time reaching out.",2026-01-04 16:58:00,Regular,1410.81,6,Sales,In Progress
T006107,C02424,Can I add a VAT number to my payment invoice? What are the next steps?,2025-10-08 12:39:00,Business,363521.58,4,Payments,Open
T005953,C01890,"The video review won't play, it just buffers infinitely. I expect better customer service than this.",2026-04-30 17:28:00,Regular,29717.38,0,Technical Support,Open
T004805,C01651,How much would shipping cost if I buy three of these?,2026-03-16 20:02:00,Regular,15441.92,0,Sales,Resolved
T003230,C02556,The website layout looks completely broken on my mobile phone. I need this resolved urgently.,2025-02-26 21:52:00,Regular,57264.84,0,Technical Support,In Progress
T005234,C00507,It's been three weeks and my international shipment hasn't cleared customs.,2025-10-03 12:09:00,Regular,27803.89,0,Logistics,In Progress
T001192,C00714,Do you offer free installation if I buy this air conditioner? Could you please point me in the right direction?,2026-08-04 13:09:00,Regular,4610.66,7,Sales,In Progress
T001716,C02572,Is there a way to view my entire order history from last year? I expect better customer service than this.,2026-04-03 17:20:00,Regular,56558.09,0,Account Support,Open
T007356,C02521,Are these shoes suitable for wide feet?,2025-11-06 16:34:00,Regular,12186.16,2,Sales,In Progress
T003403,C00849,The payment was deducted but I did not receive an order confirmation.,2025-12-02 12:02:00,Regular,9858.55,0,Payments,Resolved
T004013,C02497,"I want to cancel this order, the shipping is taking way too long. I need an update as soon as possible.",2025-12-15 16:30:00,Premium,81860.57,7,Logistics,In Progress
T005846,C01520,I am getting an 'Error 500: Internal Server Error' on the payment page. Please help me.,2025-07-27 18:10:00,Regular,70631.2,0,Technical Support,Open
T006747,C00329,Is there a way to view my entire order history from last year?,2025-09-22 12:06:00,Regular,28297.51,2,Account Support,In Progress
T000882,C00016,Do you offer free installation if I buy this air conditioner? I hope this can be sorted out quickly.,2026-03-02 19:53:00,Premium,16375.99,2,Sales,In Progress
T006472,C01604,"I want to return this, it feels very cheap and low quality.",2025-12-03 18:54:00,Premium,56967.35,0,Returns,Resolved
T008161,C01431,I keep getting a 'Session Expired' message the moment I log in.!!,2026-03-11 11:17:00,Regular,38369.27,1,Technical Support,Open
T008690,C02945,"I need a replacement, but I want to make sure it's packed properly this time.",2025-11-23 12:30:00,Regular,65112.15,0,Returns,Open
T006987,C00339,Your website is flagged as 'Not Secure' by my antivirus software.,2025-08-08 14:37:00,Premium,60240.71,5,Technical Support,Open
T002493,C02141,Can you help me? The captcha verification is failing every single time.,2025-04-12 18:54:00,Regular,58415.49,2,Technical Support,Resolved
T001581,C02339,The payment was deducted but I did not receive an order confirmation. please!,2025-03-21 16:55:00,Regular,32716.35,0,Payments,Resolved
T001259,C02586,Do you accept PayPal or Apple Pay?!!,2025-12-12 11:23:00,Regular,52831.09,2,Payments,Resolved
T006856,C02884,Why is my order still stuck in transit?,2026-06-15 15:54:00,Premium,134029.61,0,Logistics,Open
T008369,C01748,Can you notify me via email as soon as this gets restocked?,2025-07-06 20:58:00,Premium,99836.17,4,Sales,Open
T002309,C02342,How do I turn on two-factor authentication for better security?,2026-07-01 10:56:00,Regular,71062.82,1,Account Support,Resolved
T002709,C01818,"The box was fine, but the glass inside was completely shattered.",2026-04-02 18:05:00,Regular,25170.48,3,Returns,Resolved
T007357,C01557,i want to downgrade from the pro plan to the free plan.,2026-06-02 16:23:00,Regular,8195.96,1,Account Support,In Progress
T006294,C00858,"I've been trying to verify my identity, but my ID upload keeps failing. Please get back to me immediately.",2026-06-08 21:22:00,Regular,42456.83,2,Account Support,Resolved
T008184,C01117,Can you ask the driver to call me before arriving?,2026-04-22 17:45:00,Regular,42363.96,1,Logistics,In Progress
T003130,C02984,"Every time I click 'Checkout', the page just refreshes. Kindly prioritize this ticket.",2026-08-11 18:02:00,Regular,44803.31,0,Technical Support,Open
T007826,C00725,I need to download a copy of all my data for privacy reasons. This is completely unacceptable.,2025-01-27 22:48:00,Regular,11239.24,0,Account Support,Resolved
T001461,C01252,"I received an email about a login from a new device, but it wasn't me.",2025-08-13 21:40:00,Regular,24687.81,1,Account Support,Resolved
T001139,C02708,"I canceled my order 10 minutes after placing it, why is it still shipping?",2026-03-12 17:33:00,Premium,110181.11,2,Returns,Open
T008283,C00209,My loyalty points are not showing up in my account dashboard.,2026-07-13 15:52:00,Regular,60313.35,1,Account Support,In Progress
T006319,C02096,"My company changed its name, how do I update my business account details?",2025-07-07 18:14:00,Regular,14391.45,7,Account Support,Resolved
T000890,C01278,The system is very slow today.!,2025-04-07 17:00:00,Regular,9439.47,4,Technical Support,In Progress
T001274,C01164,the application is not working properly.,2026-07-29 15:25:00,Regular,25187.46,3,Technical Support,In Progress
T000379,C01888,I need help tracking my order. Can someone look into this?,2026-02-28 18:28:00,Regular,53790.58,5,Logistics,In Progress
T003132,C00055,"I want to return this, it feels very cheap and low quality. I hope this can be sorted out quickly.",2025-06-29 13:40:00,Regular,6353.35,6,Returns,Open
T002884,C01407,Why is there an extra foreign transaction fee on my statement? This is completely unacceptable.,2025-01-27 13:11:00,Regular,1339.81,1,Payments,Resolved
T006834,C02159,My delivery is taking much longer than expected.!!,2025-07-08 17:14:00,Regular,67634.74,4,Logistics,Open
T008107,C00402,Can you help me? The captcha verification is failing every single time.,2025-07-29 17:11:00,Regular,16547.52,7,Technical Support,Resolved
T009519,C01595,I requested a password reset email but never received it. Please don't send me an automated reply.,2025-01-11 10:58:00,Regular,4848.73,0,Technical Support,In Progress
T009599,C00046,Please help me with the return process. Can you guide me on how to fix this?,2025-04-25 18:38:00,Regular,68619.75,2,Returns,Resolved
T000205,C02362,Your website is flagged as 'Not Secure' by my antivirus software. I'm losing my patience here.,2026-02-12 14:10:00,Regular,38186.37,0,Technical Support,In Progress
T001289,C02321,My package is delayed and I need an update. I'm really confused and need some clarity.,2025-04-28 11:46:00,Regular,69238.18,2,Logistics,In Progress
T000572,C00289,Why is the search bar not returning any results today?,2026-07-01 19:01:00,Regular,35643.17,1,Technical Support,Resolved
T002453,C00305,"I am looking for a laptop for video editing, what do you recommend?",2025-05-15 19:54:00,Regular,53361.53,0,Sales,In Progress
T003170,C00733,"I received a notification of a payment, but I didn't buy anything! Let me know what information you need from me.",2025-01-03 16:40:00,Regular,27171.96,1,Payments,Resolved
T000403,C02726,Can you tell me about your available products?,2025-07-21 14:37:00,Premium,184878.07,2,Sales,Open
T006508,C00445,I need a tax invoice for my recent purchase.,2025-07-23 11:16:00,Regular,30003.29,1,Payments,Resolved
T000213,C01014,I need advice on which skincare routine is best for dry skin.!,2026-01-29 14:45:00,Regular,47306.67,6,Sales,Resolved
T008846,C02905,Can I pay using a different currency? Let me know if there's anything else you need from my side.,2025-06-07 21:55:00,Premium,172223.59,0,Payments,Resolved
T003331,C00943,I keep getting a 'Session Expired' message the moment I log in.,2026-08-04 09:36:00,Regular,18705.26,0,Technical Support,In Progress
T004028,C02146,How do I report a missing package? This issue needs immediate attention.,2025-04-26 19:32:00,Regular,39106.95,0,Logistics,Resolved
T000106,C02070,Can you leave instructions for the driver to leave the package at the back door? Please fix this ASAP.,2025-05-07 08:48:00,Business,335952.34,1,Logistics,Open
T000770,C01174,The product does not match the description.,2025-06-17 13:42:00,Regular,72243.85,5,Returns,Resolved
T000590,C01083,Will this phone case fit the newest model that just came out? Please investigate this matter deeply.,2026-03-27 09:48:00,Premium,189953.95,4,Sales,In Progress
T005294,C01054,Is it safe to save my card details on your platform?,2025-08-11 10:15:00,Regular,6232.97,3,Payments,Open
T005928,C02114,My return tracking says 'Delivered to Warehouse' but my refund is still pending. This is becoming frustrating.,2025-01-05 22:34:00,Regular,74749.86,1,Returns,Resolved
T009868,C02669,"The box was fine, but the glass inside was completely shattered. I need this resolved urgently.",2025-08-21 21:17:00,Premium,109245.72,2,Returns,Resolved
T005649,C02030,Your delivery partner keeps calling the wrong phone number.,2025-05-05 17:47:00,Regular,47401.03,2,Logistics,Open
T007269,C00731,Are there any offers available? Let me know if there's anything else you need from my side.,2025-02-25 22:28:00,Regular,21430.55,3,Sales,Open
T001406,C02601,i want to exchange this for a different color.,2025-05-08 08:12:00,Premium,138816.58,1,Returns,In Progress
T006968,C01686,"I want to cancel this order, the shipping is taking way too long. Let me know what information you need from me.",2025-01-14 18:31:00,Business,281087.12,2,Logistics,In Progress
T009087,C01568,"I paid for overnight shipping, but it's been 48 hours. I want my shipping fee refunded.!",2025-11-03 08:44:00,Regular,43140.95,4,Logistics,Resolved
T004349,C02266,"I want to return this, it feels very cheap and low quality. I have already contacted support about this.",2025-01-09 18:03:00,Regular,33947.91,2,Returns,Open
T003896,C01058,is this item eligible for your 30-day money-back guarantee?,2026-06-12 19:27:00,Regular,70562.88,2,Sales,Open
T009799,C00209,Where can I find my account creation date?,2026-04-04 10:20:00,Regular,23298.2,1,Account Support,Resolved
T005494,C00748,"I received a notification of a payment, but I didn't buy anything! Why is this taking so long?",2025-08-24 14:26:00,Business,418006.9,5,Payments,Resolved
T008899,C02298,My package was left out in the rain and the box is completely ruined. Can you guide me on how to fix this? please!,2025-05-31 14:21:00,Regular,3370.49,1,Logistics,In Progress
T007766,C00521,Do I have to pay for return shipping?,2026-07-20 21:27:00,Premium,126452.55,1,Returns,Resolved
T009594,C02378,I want to exchange this for a different color.,2026-06-30 08:42:00,Regular,6895.37,0,Returns,Open
T000491,C02157,it's been three weeks and my international shipment hasn't cleared customs. please don't send me an automated reply.,2025-01-25 11:40:00,Premium,157896.15,0,Logistics,Open
T002306,C00874,The driver refused to bring the heavy box up to my apartment.,2026-05-08 14:04:00,Premium,133043.87,0,Logistics,Resolved
T001667,C01885,I keep seeing the loading spinner forever when I try to apply a filter.,2026-03-26 15:58:00,Regular,19703.81,2,Technical Support,Resolved
T006934,C01501,I was charged twice for the same order. I am trusting you to resolve this today.,2025-03-31 13:09:00,Premium,103777.14,2,Payments,Resolved
T000793,C00664,Your delivery partner keeps calling the wrong phone number. Please get back to me immediately.,2026-01-18 16:16:00,Regular,38752.5,0,Logistics,Resolved
T007515,C01532,can you help me unlink my google account from my profile?,2026-04-29 19:00:00,Regular,16065.32,3,Account Support,Open
T007077,C02648,I keep getting an 'Error 500' when trying to check out. Please fix this ASAP.,2025-03-30 16:59:00,Regular,43982.81,1,Payments,Open
T009084,C00547,"I want to buy gift cards for my team, is there a corporate rate? This is becoming frustrating.",2025-06-21 21:41:00,Premium,45866.01,0,Sales,In Progress
T004663,C00782,My card was charged but the order was not confirmed.,2026-05-31 11:39:00,Regular,23963.71,0,Payments,In Progress
T007505,C00885,My subscription renewed automatically but I wanted to cancel it.???,2026-06-14 11:20:00,Regular,33208.53,0,Payments,Resolved
T006180,C00392,I want to recover an old account I haven't used in 3 years.,2026-07-31 17:59:00,Premium,175405.95,1,Account Support,Resolved
T007570,C00701,I lost my phone and can't access my 2FA app. I am locked out.,2025-06-15 14:44:00,Regular,72901.69,0,Account Support,In Progress
T002578,C02737,I am trying to add a secondary email address to my account.,2025-08-15 11:03:00,Regular,15386.66,3,Account Support,In Progress
T002684,C02542,"I got an email saying my refund was processed, but it's not in my bank. I need to speak to a real human agent.",2025-12-13 08:52:00,Premium,146092.37,1,Returns,Open
T000545,C00224,Your return portal keeps giving me an error when I try to submit. This issue needs immediate attention.,2026-04-07 16:23:00,Premium,159485.65,1,Returns,Resolved
T000977,C00611,I tried paying with my debit card but it says 'Credit Cards Only'.,2025-02-11 21:01:00,Regular,66769.87,3,Payments,Open
T003251,C01058,"My installment plan failed this month, how can I manually pay it? It's been days and still no progress.",2026-08-03 16:55:00,Regular,16021.53,2,Payments,Resolved
T006630,C02251,The product is totally different from the pictures on your website.,2025-12-28 17:38:00,Regular,21967.77,0,Returns,Resolved
