ticket_id,customer_id,message,created_at,customer_type,order_value,previous_complaints,department,status,sentiment,priority
T007839,C02141,Why is my order still stuck in transit? I am considering canceling my account over this.,2025-12-11 19:32:00,Regular,37691.8,2,Logistics,In Progress,Negative,Medium
T006380,C00346,My order has not arrived yet.,2025-02-11 14:23:00,Premium,156212.29,1,Logistics,Open,Neutral,Medium
T006407,C02193,The dark mode toggle isn't working on the desktop version.,2025-02-24 17:56:00,Regular,43573.69,0,Technical Support,Resolved,Neutral,Low
T008618,C01321,"i ordered this by mistake, please cancel it before it ships.!",2026-05-16 11:23:00,Regular,4562.47,0,Returns,Open,Negative,Low
T007890,C01248,I was sent two left shoes! I need a replacement immediately.,2026-01-11 08:54:00,Premium,154995.66,0,Returns,Open,Neutral,Medium
T008691,C01500,The transaction failed several times.,2025-05-28 18:00:00,Regular,19919.47,1,Payments,Resolved,Negative,Medium
T009758,C01175,"Tracking status says 'Exception', what does that mean?",2026-08-28 20:09:00,Regular,32171.54,0,Logistics,Open,Neutral,Low
T004795,C00408,Your delivery partner keeps calling the wrong phone number. This is completely unacceptable.,2026-05-03 10:24:00,Regular,16041.94,0,Logistics,Open,Negative,Low
T000195,C01141,I never received the OTP to verify my new phone number. Can you check this for me?,2026-05-27 09:45:00,Regular,43358.34,1,Account Support,Resolved,Neutral,Low
T006565,C02763,"My installment plan failed this month, how can I manually pay it? Kindly prioritize this ticket.",2025-10-24 14:04:00,Regular,45017.42,1,Payments,In Progress,Negative,Medium
T002368,C01022,Can I change my account currency from PKR to USD? This issue needs immediate attention.,2025-01-15 21:26:00,Regular,26669.29,3,Account Support,In Progress,Neutral,Medium
T008071,C00046,I keep getting an error when trying to place an order.,2026-05-01 11:00:00,Regular,10853.52,2,Technical Support,Open,Negative,Medium
T005106,C00922,Why is my Apple Pay failing at checkout? What are the next steps?,2025-10-20 16:20:00,Regular,74552.73,1,Payments,Resolved,Neutral,Low
T009164,C00067,The product arrived damaged and I want a replacement. Please fix this ASAP.,2025-06-02 14:20:00,Premium,66469.03,5,Returns,Resolved,Negative,Critical
T004432,C00706,The payment was deducted but I did not receive an order confirmation.,2025-09-08 11:22:00,Regular,31620.18,0,Payments,In Progress,Neutral,Low
T009540,C00444,My screen goes completely white when I navigate to the settings page.,2025-10-23 17:53:00,Regular,76596.57,1,Technical Support,Resolved,Neutral,Low
T000601,C01695,Why was my payment declined?,2026-03-25 11:20:00,Premium,120955.64,0,Payments,Resolved,Neutral,Medium
T009251,C00520,I want to know more about this product.,2025-11-03 19:57:00,Regular,57245.2,0,Sales,Open,Neutral,Low
T006653,C02545,My package was supposed to arrive five days ago. I'm losing my patience here.,2025-02-08 17:43:00,Premium,114535.15,2,Logistics,Resolved,Neutral,Medium
